Name,Province,ID,Lat,Lon,Elevation,GridCell
ROYAL ROAD,NB,8104480,46.05,-66.72,115,33632
ROYAL ROAD WEST,NB,8104482,46.08,-66.73,160,33632
PORT WELLER (AUT),ON,6136699,43.25,-79.22,79,20197
ST CATHARINES A,ON,6137287,43.2,-79.17,97,20197
CAMBRIDGE GALT MOE,ON,6141095,43.33,-80.32,268,18645
PRESTON WPCP,ON,6146714,43.38,-80.35,272,18645
WATERLOO WELLINGTON A,ON,6149387,43.45,-80.38,317,18645
MAPLE,ON,6154950,43.87,-79.48,244,19620
TORONTO YORK MILLS,ON,615HHDF,43.75,-79.38,153,19620
TORONTO NORTH YORK,ON,615S001,43.78,-79.47,187,19620
TORONTO CITY,ON,6158355,43.67,-79.4,112,19619
TORONTO OLD WESTON RD,ON,6158764,43.65,-79.47,121,19619
TORONTO BOOTH,ON,6158406,43.65,-79.35,77,19813
TORONTO GREENWOOD,ON,6158575,43.67,-79.32,99,19813
TORONTO LESLIE EGLINTON,ON,6158732,43.72,-79.35,133,19813
TORONTO ELLESMERE,ON,6158520,43.77,-79.27,164,19814
TORONTO SENECA HILL,ON,61587PG,43.78,-79.35,189,19814
WILCOX LAKE,ON,6159510,43.95,-79.43,289,19621
TORONTO BUTTONVILLE A,ON,615HMAK,43.87,-79.37,198,19621
BEAUPORT,QC,7010565,46.83,-71.2,10,28003
CHARLESBOURG PARC ORLEAN,QC,7011309,46.87,-71.27,114,28003
QUEBEC,QC,7016280,46.8,-71.22,90,28003
COURVILLE DE POISSY,QC,701A9E0,46.88,-71.17,114,28003
DUBERGER,QC,7012232,46.82,-71.3,15,28002
STE FOY MATAPEDIA,QC,7017B65,46.75,-71.28,45,28002
STE FOY (PIE XII),QC,7017BFN,46.78,-71.32,79,28002
OKA,QC,7015730,45.5,-74.07,91,25464
ST BENOIT,QC,7016906,45.57,-74.05,53,25464
ISLAND BROOK,QC,7023312,45.38,-71.47,345,28572
MAPLE LEAF EAST,QC,7024624,45.33,-71.4,444,28572
MONTREAL JAR BOT,QC,7025257,45.57,-73.55,45,26047
MONTREAL LAFONTAINE,QC,7025267,45.52,-73.57,41,26047
MONTREAL MCGILL,QC,7025280,45.5,-73.58,56,26047
BAGOTVILLE A,QC,7060400,48.33,-71.0,159,27434
LA BAIE,QC,706Q001,48.3,-70.92,151,27434
